cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
maxaranguape	4.0	0.0	2009
brejinho	5.0	15.0	2009
taipu	15.0	5.0	2009
jardim-do-serido	10.0	0.0	2009
serra-do-mel	22.0	0.0	2009
vera-cruz	5.0	0.0	2009
