cidade	POP_RESIDENTE	ANO
sao-jose-do-campestre	12356.0	2010
ielmo-marinho	12171.0	2010
passa-e-fica	11100.0	2010
alexandria	13507.0	2010
patu	11964.0	2010
governador-dix-sept-rosado	12374.0	2010
