cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
jardim-de-piranhas	13.0	23.0	2009
tibau-do-sul	6.0	18.0	2009
upanema	3.0	15.0	2009
pedro-velho	7.0	29.0	2009
ares	7.0	8.0	2009
alto-do-rodrigues	9.0	28.0	2009
