cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
jacana	5.0	17.0	2009
lagoa-salgada	5.0	0.0	2009
martins	6.0	0.0	2009
carnauba-dos-dantas	8.0	10.0	2009
marcelino-vieira	4.0	0.0	2009
riachuelo	5.0	0.0	2009
