cidade	POP_RESIDENTE	ANO
lajes-pintadas	4612.0	2010
japi	5522.0	2010
ouro-branco	4699.0	2010
serrinha-dos-pintos	4540.0	2010
coronel-joao-pessoa	4772.0	2010
