cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
jandaira	4.0	0.0	2009
antonio-martins	8.0	23.0	2009
caicara-do-norte	2.0	0.0	2009
pedro-avelino	4.0	0.0	2009
lagoa-danta	3.0	0.0	2009
doutor-severiano	7.0	5.0	2009
