cidade	MATRICULAS_INFANTIL	MATRICULAS_FUNDAMENTAL	MATRICULAS_MEDIO	ANO
lajes-pintadas	273.0	717.0	139.0	2018
japi	264.0	1061.0	241.0	2018
ouro-branco	212.0	578.0	160.0	2018
serrinha-dos-pintos	218.0	645.0	116.0	2018
coronel-joao-pessoa	220.0	660.0	113.0	2018
