cidade	POP_RESIDENTE	ANO
pureza	8424.0	2010
bom-jesus	9440.0	2010
luis-gomes	9610.0	2010
campo-grande	9289.0	2010
florania	8959.0	2010
baia-formosa	8573.0	2010
