cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
macau	10.0	0.0	2009
apodi	7.0	55.0	2009
canguaretama	18.0	41.0	2009
pau-dos-ferros	15.0	50.0	2009
joao-camara	19.0	30.0	2009
touros	13.0	20.0	2009
