cidade	MATRICULAS_INFANTIL	MATRICULAS_FUNDAMENTAL	MATRICULAS_MEDIO	ANO
santa-maria	272.0	806.0	198.0	2018
serra-de-sao-bento	244.0	839.0	193.0	2018
bento-fernandes	207.0	809.0	251.0	2018
sitio-novo	182.0	691.0	150.0	2018
encanto	247.0	847.0	188.0	2018
