cidade	POP_RESIDENTE	ANO
grossos	9393.0	2010
serra-caiada	8768.0	2010
sao-miguel-do-gostoso	8670.0	2010
umarizal	10659.0	2010
januario-cicco	9011.0	2010
espirito-santo	10475.0	2010
