cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
grossos	5.0	20.0	2009
serra-caiada	8.0	0.0	2009
sao-miguel-do-gostoso	4.0	5.0	2009
umarizal	8.0	0.0	2009
januario-cicco	10.0	18.0	2009
espirito-santo	6.0	0.0	2009
