cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
sao-joao-do-sabugi	5.0	0.0	2009
equador	3.0	17.0	2009
porto-do-mangue	3.0	0.0	2009
senador-eloi-de-souza	5.0	0.0	2009
serrinha	4.0	0.0	2009
sao-vicente	8.0	0.0	2009
