cidade	MATRICULAS_INFANTIL	MATRICULAS_FUNDAMENTAL	MATRICULAS_MEDIO	ANO
sao-joao-do-sabugi	255.0	763.0	158.0	2018
equador	286.0	875.0	290.0	2018
porto-do-mangue	332.0	870.0	146.0	2018
senador-eloi-de-souza	327.0	893.0	151.0	2018
serrinha	405.0	1099.0	254.0	2018
sao-vicente	231.0	734.0	149.0	2018
