cidade	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS	ANO
sao-jose-do-campestre	6.0	22.0	2009
ielmo-marinho	8.0	0.0	2009
passa-e-fica	8.0	25.0	2009
alexandria	9.0	0.0	2009
patu	5.0	26.0	2009
governador-dix-sept-rosado	5.0	0.0	2009
