cidade	POP_RESIDENTE	ANO
acari	11035.0	2010
rio-do-fogo	10059.0	2010
carnaubais	9762.0	2010
sao-tome	10827.0	2010
tenente-ananias	9883.0	2010
afonso-bezerra	10844.0	2010
