cidade	FREQUENTANDO_ESCOLA	NAO_FREQUENTANDO_ESCOLA	SEM_INSTRUCAO	NIVEL_FUNDAMENTAL	NIVEL_MEDIO	NIVEL_SUPERIOR	MATRICULAS_INFANTIL	MATRICULAS_FUNDAMENTAL	MATRICULAS_MEDIO	PIB	POP_RESIDENTE	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS
januario-cicco	2028	5364	5447	948	876	116	352	1331	249	67185710	9011	10	18
espirito-santo	2360	6269	6502	1071	927	129	388	1185	236	74984850	10475	6	0
pureza	1972	4801	4978	894	743	158	432	1604	342	119027060	8424	4	0
bom-jesus	1991	5778	5843	818	917	192	505	1455	290	82724870	9440	6	0
luis-gomes	2103	5826	5369	1207	1153	195	479	1545	268	71510160	9610	7	18
campo-grande	2038	5765	5500	844	1188	193	357	1303	329	84199260	9289	4	0
florania	2115	5627	4756	1207	1464	265	450	1240	297	88046490	8959	13	0
baia-formosa	2127	4909	4615	1007	1221	183	518	1385	328	149062580	8573	8	0
jacana	1563	5072	4636	872	990	137	327	1176	399	62040120	7925	5	17
lagoa-salgada	1481	4688	4452	966	687	64	450	1612	379	70464760	7564	5	0
martins	1676	5288	4566	1001	1196	202	339	1249	359	78391130	8218	6	0
carnauba-dos-dantas	1290	5021	3904	1037	1166	190	468	995	194	82744870	7429	8	10
marcelino-vieira	1719	5178	4812	892	975	213	309	1077	302	64840450	8265	4	0
riachuelo	1764	4068	4093	757	854	119	408	1024	241	67470690	7067	5	0
jandaira	1414	4121	4072	696	686	81	362	1066	281	69207070	6801	4	0
antonio-martins	1605	4228	4318	751	634	131	215	907	215	54804060	26128	8	23
caicara-do-norte	1155	3750	3552	648	525	98	144	996	0	73589050	26128	2	0
pedro-avelino	1557	4414	4459	662	751	73	354	955	204	55613540	26128	4	0
lagoa-danta	1400	3720	3597	648	754	122	312	1040	190	55027340	6227	3	0
doutor-severiano	1411	4030	3578	852	802	200	326	935	278	57273910	6492	7	5
sao-joao-do-sabugi	1154	3952	3044	742	1095	224	255	763	158	59396760	5922	5	0
equador	1160	3664	3270	651	791	112	286	875	290	63870650	5822	3	17
porto-do-mangue	1120	3158	3063	665	451	87	332	870	146	155325760	5217	3	0
senador-eloi-de-souza	1333	3335	3295	650	618	104	327	893	151	44758340	5637	5	0
serrinha	1796	3649	3954	729	664	98	405	1099	254	57296050	6581	4	0
sao-vicente	1053	4168	3350	663	1036	167	231	734	149	68458660	6028	8	0
jose-da-penha	1107	3912	3697	589	587	146	188	806	235	52205040	5868	5	20
itau	1225	3516	3136	642	792	168	299	753	189	53877250	5564	3	12
tenente-laurentino-cruz	1006	3317	2709	670	783	137	331	1077	352	112122390	5406	7	7
sao-pedro	1322	3891	3873	534	682	107	360	993	268	59164430	6235	5	0
felipe-guerra	1117	3829	3135	597	1056	159	275	908	272	98731540	5734	3	10
santa-maria	947	2925	2734	524	520	89	272	806	198	67720450	4762	2	0
serra-de-sao-bento	1145	3649	3360	695	622	116	244	839	193	44729240	5743	1	9
bento-fernandes	1540	2717	2966	570	589	126	207	809	251	47417580	5113	6	0
sitio-novo	1056	3131	2992	559	546	86	182	691	150	41263170	5020	2	13
encanto	1189	3219	3005	539	673	190	247	847	188	43629670	5231	3	23
varzea	981	3433	2926	690	701	96	249	855	155	44660040	5236	2	0
janduis	1095	3374	2967	630	658	107	258	715	193	65876640	5345	4	18
rafael-fernandes	786	3176	2581	493	754	131	184	685	114	42319790	4692	4	9
parazinho	1151	2721	2973	421	386	93	278	951	174	443110010	4845	2	0
coronel-ezequiel	1171	3363	3330	630	522	52	224	773	130	44471870	5405	7	10
lajes-pintadas	881	3048	2520	528	769	112	273	717	139	41988940	4612	4	0
japi	1339	3200	3328	521	643	47	264	1061	241	38792490	5522	5	0
ouro-branco	729	3316	2592	487	825	134	212	578	160	48536090	4699	4	13
serrinha-dos-pintos	867	3020	2822	437	547	82	218	645	116	40132260	4540	3	15
coronel-joao-pessoa	1080	2855	2949	343	556	81	220	660	113	43904060	4772	4	8
